question_id,question_type,status,answer_chars,citation_count,retrieval_latency_s,ttft_s,e2e_s,top_chunk,answer
D2-Q16,paraphrase,completed,392,5,0.385,7.578,9.246,doc_25_chunk_2,"Không có thông tin về ""thời gian phản hồi ban đầu cho sự cố nghiêm trọng"" trong các đoạn bạn cung cấp [1][2][3][4][5].

Các đoạn đã kiểm tra: [1][4][5] (chính sách và giới hạn thành viên/workspace), [3] (hợp đồng riêng cho ACME), [2] (xác thực hai yếu tố). Nếu bạn có đoạn chính sách SLA khác hoặc muốn tôi tìm trong tài liệu bổ sung, hãy gửi nội dung đó hoặc cho biết nơi tôi có thể tra cứu."
D2-Q17,conflicting_evidence,completed,575,2,0.477,8.988,11.343,doc_29_chunk_2,"Không mâu thuẫn.

- Thông báo sự cố nêu đây là một sự kiện phục hồi ngoại lệ: nhóm vận hành đã khôi phục một số tenant Enterprise từ bản sao lưu cũ hơn 6 giờ vì các snapshot gần nhất ở một vùng không khả dụng, và sự kiện này không thay đổi lịch sao lưu hay chính sách giữ bản sao lưu chuẩn [1].  
- Tiêu chuẩn Backup của Aster vẫn quy định dữ liệu Enterprise được sao lưu mỗi 6 giờ (backup frequency = 6 giờ) và giữ 30 ngày, tức là chính sách chuẩn vẫn là như vậy [2].  

Kết luận: hành động trong sự cố là ngoại lệ do tình huống cụ thể và không thay đổi policy chuẩn [1][2]."
D2-Q18,cross_language,completed,144,1,0.378,4.407,5.372,doc_25_chunk_3,Aster Lite (Lite). It has a 14-day renewal grace period during which customers can view/download existing files but cannot upload new files [1].
D2-Q19,hard_no_answer,completed,117,1,0.356,5.356,6.197,doc_33_chunk_5,Không — tài liệu không chỉ định việc hỗ trợ khóa mã hóa do khách hàng quản lý (customer-managed encryption keys) [1].
D2-Q20,multi_document,completed,267,2,0.415,8.042,9.402,doc_33_chunk_4,"Session timeout của Lite là 4 giờ, còn thời gian lưu audit log của Lite là 45 ngày — tức là audit log được giữ lâu hơn rất nhiều so với thời hạn session [1][3].

- Lite session: hết hạn sau 4 giờ không hoạt động [1].  
- Audit logs (Lite): được lưu trong 45 ngày [3]."
D2-Q21,distractor,completed,311,2,0.388,7.695,9.172,doc_28_chunk_2,"Không. Cụm ""rapid recovery"" là cụm mô tả tiếp thị và không thay thế các giới hạn số liệu hoặc cam kết thời gian trong chính sách. [1]

Thời gian khôi phục cụ thể được quy định trong tiêu chuẩn Backup and Recovery — ví dụ, yêu cầu khôi phục tiêu chuẩn cho gói Enterprise được xử lý trong vòng 8 giờ làm việc. [2]"
D2-Q22,multi_document,completed,372,3,0.759,8.296,11.616,doc_24_chunk_3,"Thay đổi:
- Giới hạn thành viên tổ chức: trở thành 600 active members. [1]
- Số workspaces: trở thành 50 workspaces. [1]
- Kích thước tải lên tối đa: 500 MB mỗi file. [1]
- Backup: khoảng cách sao lưu 3 giờ một lần và giữ sao lưu trong 45 ngày. [2]

Không đổi (theo ngữ cảnh được cung cấp):
- Thời hạn xuất dữ liệu (export window) vẫn là 20 ngày, giống như Enterprise. [3]"
D2-Q23,hard_no_answer,completed,360,2,0.892,9.36,11.522,doc_23_chunk_5,"Không có; trong các đoạn văn bản được cung cấp không nêu số điện thoại hotline cho incident severity critical.

- Tài liệu Enterprise (2026) chỉ ghi mục tiêu phản hồi ban đầu cho critical là 60 phút và hỗ trợ 24/7 [1].  
- Tài liệu Lite (2026) chỉ ghi giờ hỗ trợ 08:00–18:00 Thứ Hai–Thứ Sáu và không nêu số điện thoại hay mục tiêu theo mức độ nghiêm trọng [3]."
D2-Q24,multi_document,completed,646,2,0.413,10.276,13.117,doc_24_chunk_3,"Tóm tắt nhanh:

- Thành viên và workspace: Aster Enterprise 2026 hỗ trợ tới 400 thành viên và 30 workspace, nên 350 thành viên và 28 workspace được hỗ trợ [2].  
- File 280 MB: Các đoạn cung cấp không nêu giới hạn upload của bản Enterprise 2026. Nếu bật Enterprise Plus thì giới hạn upload tối đa là 500 MB/tập tin (vì vậy 280 MB được chấp nhận) [1].  
- SSO: Trong các đoạn cung cấp không có thông tin về việc hỗ trợ SSO, nên không thể xác nhận.  

Kết luận: Enterprise 2026 đáp ứng yêu cầu về số thành viên và workspace; để chắc chắn về tải file 280 MB và SSO bạn cần kiểm tra thêm hoặc cân nhắc nâng lên Enterprise Plus (upload 500 MB) [2][1]."
D2-Q25,boundary_reasoning,completed,717,5,0.397,12.479,15.237,doc_22_chunk_2,"Không rõ — trong các đoạn văn bản bạn cung cấp không có quy định về việc tính năng tạo workspace khi gói Enterprise đã hết hạn.  

Chi tiết:
- Các đoạn chỉ nêu giới hạn số thành viên và workspace cho các gói: Enterprise 2025 [1], Enterprise 2026 [2], Enterprise Plus (thay đổi dung lượng) [3], và Lite [5].  
- FAQ cho biết các tài liệu marketing/FAQ không thay thế các giới hạn/chính sách và không định nghĩa các điều khoản như giá cả, hoàn tiền hoặc SLA cho xóa dữ liệu — nó không đưa ra quy định về hành vi khi hết hạn dịch vụ [4].

Đề xuất (không có trong các đoạn trên): kiểm tra văn bản chính sách/gia hạn đầy đủ của gói hoặc liên hệ bộ phận hỗ trợ/nhóm quản trị để biết quy tắc áp dụng khi thuê bao đã hết hạn."
D2-Q26,boundary_reasoning,completed,277,1,0.433,6.744,8.191,doc_23_chunk_2,"Không có thông tin trong các đoạn cung cấp về trạng thái của gói Enterprise sau 35 ngày hết hạn. Tài liệu chỉ nêu rằng khách hàng Enterprise Plus theo cùng cửa sổ xuất dữ liệu 20 ngày như Enterprise [4]. Vì vậy, từ các đoạn này không thể xác định trạng thái cụ thể sau 35 ngày."
D2-Q27,document_scope,completed,114,1,0.391,4.631,5.761,doc_32_chunk_2,Không — APAC compliance note không làm tăng giới hạn thành viên; nó nêu rõ “does not alter ... member limits” [1].
D2-Q28,version_confusion,completed,556,2,0.389,7.122,9.463,doc_32_chunk_2,"Ngắn gọn: Không thể xác nhận — trong các đoạn văn cung cấp không có chỗ nào nêu rõ “response target 90 phút” cho Aster Enterprise 2026.  

Chi tiết:
- Ghi chú APAC chỉ nói rằng nó không thay đổi các “support response targets” nhưng không nêu giá trị cụ thể của các target ([1]).  
- Tài liệu về Aster Enterprise 2026 chỉ nêu điều kiện eligibility (hỗ trợ đến 400 thành viên và 30 workspace) mà không đề cập thời gian phản hồi ([2]).  

Gợi ý: Để chắc chắn, bạn nên kiểm tra tài liệu chính thức về support response targets hoặc liên hệ đội hỗ trợ của Aster."
D2-Q29,multi_document,completed,625,3,0.475,6.742,8.997,doc_32_chunk_2,"Tóm tắt ngắn: Không / Không / Không.

- Chọn Singapore residency: Không — Aster Lite không cung cấp tùy chọn chọn vùng lưu trữ (selectable data residency) theo ghi chú APAC (chỉ Enterprise và Enterprise Plus được yêu cầu giữ lưu trữ chính ở Singapore) [1].
- Dùng SSO: Không — SAML Single Sign‑On chỉ được bao gồm cho Aster Enterprise và Enterprise Plus; Aster Lite không có SAML SSO [5].
- Yêu cầu restore backup cụ thể: Không — Khách hàng Lite không thể yêu cầu khôi phục một bản backup cụ thể; backups được tạo mỗi 24 giờ và giữ 7 ngày, và chỉ có thể thực hiện khôi phục cấp hệ thống bởi operations sau sự cố nền tảng [2]."
D2-Q30,multi_document,completed,530,3,0.44,9.571,11.365,doc_24_chunk_3,"Có — tất cả các yêu cầu của khách hàng đều được đáp ứng.

- 550 thành viên: trong Enterprise Plus giới hạn là 600 active members → đáp ứng [1].  
- 40 workspace: giới hạn 50 workspaces → đáp ứng [1].  
- File 450 MB: kích thước tải lên tối đa 500 MB/file → đáp ứng [1].  
- Singapore residency: khách hàng Enterprise Plus ở APAC có thể yêu cầu lưu trữ chính ở Singapore → đáp ứng [2].  
- Backup 3 giờ: Enterprise Plus có khoảng cách backup 3 giờ (và giữ backup 45 ngày) — ghi chú APAC không thay đổi lịch backup → đáp ứng [4][2]."
D2-F01-T1,followup,completed,401,2,0.368,11.486,13.572,doc_30_chunk_2,"Tài liệu 2026 được cung cấp không nêu con số cụ thể cho “base renewal grace period”, nên không thể xác định từ ngữ cảnh này.

- Hợp đồng riêng của ACME ghi 45 ngày nhưng đó là điều khoản dành riêng cho khách hàng và không định nghĩa chính sách chuẩn Aster Enterprise [1].  
- Phần Enterprise Plus chỉ nói rằng nó không thay đổi “base renewal grace period” nhưng cũng không cho biết giá trị cụ thể [3]."
D2-F01-T2,followup,completed,707,4,0.452,11.614,19.213,doc_30_chunk_2,"Phụ thuộc vào gói/case cụ thể — tóm tắt theo từng trường hợp:

- Gói Lite: thời gian gia hạn là 14 ngày; trong 14 ngày đó khách hàng chỉ có thể xem và tải các file hiện có, không được tải lên; sau 14 ngày chính sách không cho phép yêu cầu xuất toàn bộ dữ liệu (không có quyền tải/xem thêm theo mô tả) [5][3].  
- Khách hàng có hợp đồng riêng (ví dụ ACME Corp): hợp đồng này cho phép 45 ngày gia hạn và các điều khoản trong hợp đồng áp dụng cho ACME thay vì chính sách chuẩn nếu có xung đột [1].  
- Enterprise Plus: phụ lục Enterprise Plus không thay đổi thời hạn gia hạn cơ bản (không làm thay đổi giá trị gia hạn đã áp dụng cho gói cơ bản) [2].

Bạn đang hỏi cho gói/case nào để mình trả lời chi tiết hơn?"
D2-F01-T3,followup,completed,402,2,0.398,8.629,15.715,doc_30_chunk_2,"Bạn chỉ có thể yêu cầu/tải xuất trong 14 ngày của giai đoạn gia hạn (renewal grace period); chính sách Lite cho phép tải các file hiện có chỉ trong 14 ngày và không nêu quyền yêu cầu full export sau khi giai đoạn này kết thúc [2].

Nếu bạn là ACME Corp thì hợp đồng riêng của họ cho phép giai đoạn gia hạn 45 ngày, nhưng đó là điều khoản riêng dành cho ACME và không thay đổi chính sách Lite chuẩn [1]."
D2-F02-T1,followup,completed,199,1,0.387,5.155,6.032,doc_30_chunk_2,"ACME Corp có thời gian gia hạn (grace period) là 45 ngày [1].

Đây là điều khoản riêng trong hợp đồng ký năm 2024 áp dụng cho ACME Corp và được ưu tiên nếu có mâu thuẫn với chính sách tiêu chuẩn [1]."
D2-F02-T2,followup,completed,517,3,0.371,7.086,12.503,doc_24_chunk_4,"Đối với khách hàng Enterprise thông thường:

- Thời gian gia hạn (renewal grace period) là 21 ngày sau khi hết hạn đăng ký. [4]  
- Trong 5 ngày đầu tiên của thời gian gia hạn, quản trị viên vẫn có thể tạo workspace mới. [4]  
- Sau ngày thứ 5, việc tạo workspace bị khóa. [4]

Lưu ý:
- Nếu có hợp đồng riêng của khách hàng (ví dụ ACME) thì hợp đồng đó có thể quy định thời gian gia hạn khác và sẽ áp dụng cho khách hàng đó. [3]  
- Ghi chú khu vực APAC không thay đổi thời gian gia hạn cho khách hàng Enterprise. [5]"
D2-F02-T3,followup,completed,1029,5,0.516,8.267,16.813,doc_30_chunk_2,"Tóm tắt ưu tiên dựa trên các đoạn được cung cấp:

- Hợp đồng riêng với khách hàng (ví dụ ACME Corp) được ưu tiên hơn chính sách tiêu chuẩn cho những điều khoản được hợp đồng bao phủ [1].  
- Ghi chú tuân thủ APAC chỉ áp dụng cho khách hàng vùng APAC và nó KHÔNG thay đổi một số mục như: thời hạn gia hạn, giới hạn thành viên, giới hạn workspace, mục tiêu phản hồi hỗ trợ, lịch sao lưu — tức là những mục này vẫn tuân theo nguồn chính sách tương ứng chứ không bị Ghi chú APAC ghi đè [5].  
- Các câu mô tả trong tài liệu marketing là mang tính mô tả và KHÔNG thay thế các giới hạn số hoặc mục tiêu dịch vụ trong tài liệu chính sách — nghĩa là tài liệu chính sách có giá trị hơn so với nội dung marketing khi có mâu thuẫn [2].  
- Trong trường hợp hai phiên bản chính sách tiêu chuẩn mâu thuẫn (ví dụ mục tiêu phản hồi sự cố: 90 phút trong 2025 so với 60 phút trong 2026), các đoạn trích cho thấy sự khác nhau nhưng không nêu quy tắc chung về thứ tự ưu tiên giữa các phiên bản—không thể xác định ưu tiên chỉ từ các đoạn này [3][4]."
